"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"female","~~","freq_ord_z","",-0.033282915382657,0,NA,NA,-0.033282915382657,-0.033282915382657
"female","~~","victim_blaming_z","",-0.157824243573366,0,NA,NA,-0.157824243573366,-0.157824243573366
"female","~~","crime_denial_z","",-0.115947130041323,0,NA,NA,-0.115947130041323,-0.115947130041323
"female","~~","fear_z","",0.13070361567334,0,NA,NA,0.13070361567334,0.13070361567334
"female","~~","ser_x_stedu","",-0.00596853699080949,0,NA,NA,-0.00596853699080949,-0.00596853699080949
"intimate","~~","intimate","",0.23956820041319,0,NA,NA,0.23956820041319,0.23956820041319
"intimate","~~","severe_coharm","",0.0494776301646521,0,NA,NA,0.0494776301646521,0.0494776301646521
"intimate","~~","freq_ord_z","",0.0566860644497484,0,NA,NA,0.0566860644497484,0.0566860644497484
"intimate","~~","victim_blaming_z","",0.048464880265637,0,NA,NA,0.048464880265637,0.048464880265637
"intimate","~~","crime_denial_z","",0.0358799826227113,0,NA,NA,0.0358799826227113,0.0358799826227113
"intimate","~~","fear_z","",0.053111433931348,0,NA,NA,0.053111433931348,0.053111433931348
"intimate","~~","ser_x_stedu","",0.0220211286800369,0,NA,NA,0.0220211286800369,0.0220211286800369
"severe_coharm","~~","severe_coharm","",0.248651963187231,0,NA,NA,0.248651963187231,0.248651963187231
"severe_coharm","~~","freq_ord_z","",0.116231571213238,0,NA,NA,0.116231571213238,0.116231571213238
"severe_coharm","~~","victim_blaming_z","",0.0372192953909322,0,NA,NA,0.0372192953909322,0.0372192953909322
"severe_coharm","~~","crime_denial_z","",0.0887890575926319,0,NA,NA,0.0887890575926319,0.0887890575926319
"severe_coharm","~~","fear_z","",0.0686790121364374,0,NA,NA,0.0686790121364374,0.0686790121364374
"severe_coharm","~~","ser_x_stedu","",0.0993805967647605,0,NA,NA,0.0993805967647605,0.0993805967647605
"freq_ord_z","~~","freq_ord_z","",0.998664886515354,0,NA,NA,0.998664886515354,0.998664886515354
"freq_ord_z","~~","victim_blaming_z","",0.0390784255432629,0,NA,NA,0.0390784255432629,0.0390784255432629
"freq_ord_z","~~","crime_denial_z","",0.142713660353284,0,NA,NA,0.142713660353284,0.142713660353284
"freq_ord_z","~~","fear_z","",0.0998888134488806,0,NA,NA,0.0998888134488806,0.0998888134488806
"freq_ord_z","~~","ser_x_stedu","",0.154003882387883,0,NA,NA,0.154003882387883,0.154003882387883
"victim_blaming_z","~~","victim_blaming_z","",1.05105585071446,0,NA,NA,1.05105585071446,1.05105585071446
"victim_blaming_z","~~","crime_denial_z","",0.688287703426234,0,NA,NA,0.688287703426234,0.688287703426234
"victim_blaming_z","~~","fear_z","",-0.0271682893030719,0,NA,NA,-0.0271682893030719,-0.0271682893030719
"victim_blaming_z","~~","ser_x_stedu","",0.0440796655843606,0,NA,NA,0.0440796655843606,0.0440796655843606
"crime_denial_z","~~","crime_denial_z","",1.03346737604364,0,NA,NA,1.03346737604364,1.03346737604364
"crime_denial_z","~~","fear_z","",-0.0391455993495156,0,NA,NA,-0.0391455993495156,-0.0391455993495156
"crime_denial_z","~~","ser_x_stedu","",0.0904109140681757,0,NA,NA,0.0904109140681757,0.0904109140681757
"fear_z","~~","fear_z","",0.940873857956115,0,NA,NA,0.940873857956115,0.940873857956115
"fear_z","~~","ser_x_stedu","",0.062259029610789,0,NA,NA,0.062259029610789,0.062259029610789
"ser_x_stedu","~~","ser_x_stedu","",0.574798595909902,0,NA,NA,0.574798595909902,0.574798595909902
"ind_low",":=","a*b","ind_low",0.0130196234969282,0.00740122499023581,1.75911737774552,0.0785575738570836,-0.00109102493429958,0.0282813654147635
"ind_high",":=","(a+amod)*(b+bmod)","ind_high",0.0120164926678115,0.00714346469306909,1.6821658934593,0.0925366757505801,-0.00168166550121412,0.0266342129741932
"total_low",":=","ind_low+cprime","total_low",0.0208075313803794,0.016468556376273,1.26347027055497,0.206420224222839,-0.0111268259834898,0.0531598647134984
"total_high",":=","ind_high+cprime+cmod","total_high",0.0220832013539308,0.0150873199414927,1.46369278570134,0.143277907555206,-0.00610238292217156,0.0524972022490391
"diff_indirect",":=","ind_high-ind_low","diff_indirect",-0.00100313082911668,0.00985268330908058,-0.101812957713983,0.91890514033133,-0.0210338391341292,0.0181349825353714
