"outcome","model","term","estimate","std.error","z","p.value","OR","OR_lo","OR_hi","p_fdr_BH","p_holm"
"institutional_response","logit_HC3","cjs_distrust_z",0.00399048194928931,0.171214150305686,0.0233069634849964,0.981405417166013,1.00399845452366,0.717782089404214,1.40434389707688,0.981405417166013,1
"institutional_response","logit_HC3","gender_awareness_z",0.265151181471944,0.157427521499777,1.68427463600969,0.0921286048813744,1.30362804528812,0.957521828624994,1.77483795111192,0.284761142360612,1
"institutional_response","logit_HC3","gender_hierarchy_z",0.0474382292261138,0.112995421703786,0.419824347843682,0.674613776781366,1.04858142743449,0.840269338629742,1.30853639352542,0.955702850440268,1
"institutional_response","logit_HC3","stedu",0.943222741829308,0.236951902741586,3.98065063380378,6.87268966796796e-05,2.56824488588758,1.61413145372227,4.08633496279205,0.00116835724355455,0.00226798759042943
"institutional_response","logit_HC3","support_awareness_z",-0.130866701115364,0.149444286349646,-0.875688889230482,0.381199187165107,0.877334714335762,0.654569505877598,1.17591209805387,0.761323478602876,1
"institutional_response","logit_HC3","seoul_policy_awareness_z",0.316362396637461,0.134260535877518,2.35633199711097,0.0184564141414124,1.37212741989841,1.05465294035394,1.78516892562328,0.183261953211774,0.590605252525198
"institutional_response","logit_HC3","dig",0.179968741551186,0.0814936482084892,2.20837753012067,0.0272179668182564,1.19717994054903,1.02044743314851,1.4045209615853,0.183261953211774,0.843756971365947
"institutional_response","logit_HC3","offcnt",-0.0843020584686268,0.062956991439278,-1.33904204348672,0.180556986207293,0.919153576037819,0.812452553894881,1.0398678572588,0.511578127587329,1
"institutional_response","logit_HC3","freq_ord_z",0.0756437531358531,0.110722979107588,0.683180255314043,0.494492947552245,1.07857826558214,0.86816517737142,1.33998817887217,0.840638010838817,1
"institutional_response","logit_HC3","threat",-0.159687532044995,0.267801102482825,-0.596291540865619,0.550980481147681,0.852410098197703,0.504303155408984,1.44080592737944,0.892063636143864,1
"institutional_response","logit_HC3","intimate",0.378472209510455,0.352296475207253,1.07430030143731,0.282688109985906,1.46005223066794,0.731960387519409,2.91238781855789,0.686528267108629,1
"institutional_response","logit_HC3","known_nonint",0.803277945281526,0.375197050363959,2.14094952106448,0.0322781090182995,2.23284809958845,1.0702494226273,4.65836330338478,0.183261953211774,0.968343270548984
