"variable","contrast","diff","lwr","upr","p_adj_Tukey"
"support_awareness","Life_threat_protective-Escalation_aware_mixed",0.323,-0.51,1.156,0.826
"support_awareness","Boundary_clarification-Escalation_aware_mixed",0.355,-0.446,1.155,0.744
"support_awareness","Multi_action_institutional-Escalation_aware_mixed",1.053,0.156,1.949,0.0121
"support_awareness","Boundary_clarification-Life_threat_protective",0.032,-0.854,0.917,1
"support_awareness","Multi_action_institutional-Life_threat_protective",0.73,-0.244,1.703,0.243
"support_awareness","Multi_action_institutional-Boundary_clarification",0.698,-0.247,1.644,0.257
"seoul_policy_awareness","Escalation_aware_mixed-Network_oriented_prevention",0.267,-0.459,0.993,0.852
"seoul_policy_awareness","Life_threat_protective-Network_oriented_prevention",0.803,0.017,1.59,0.0426
"seoul_policy_awareness","Boundary_clarification-Network_oriented_prevention",0.348,-0.416,1.113,0.723
"seoul_policy_awareness","Multi_action_institutional-Network_oriented_prevention",1.144,0.314,1.974,0.00168
"seoul_policy_awareness","Life_threat_protective-Escalation_aware_mixed",0.536,-0.129,1.202,0.179
"seoul_policy_awareness","Boundary_clarification-Escalation_aware_mixed",0.081,-0.558,0.721,0.997
"seoul_policy_awareness","Multi_action_institutional-Escalation_aware_mixed",0.877,0.161,1.594,0.00766
"seoul_policy_awareness","Boundary_clarification-Life_threat_protective",-0.455,-1.162,0.253,0.398
"seoul_policy_awareness","Multi_action_institutional-Life_threat_protective",0.341,-0.437,1.119,0.751
"seoul_policy_awareness","Multi_action_institutional-Boundary_clarification",0.796,0.04,1.551,0.0332
